training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8933,0.1197,0.3221,2.3220
0,1,0.9797,0.9892,0.0661,0.0344
0,2,0.9848,0.9925,0.0498,0.0238
1,0,0.9446,0.2978,0.1722,3.1329
1,1,0.9790,0.9863,0.0690,0.0435
2,0,0.9516,0.3215,0.1592,2.8160
2,1,0.9801,0.9877,0.0664,0.0381
2,2,0.9843,0.9919,0.0507,0.0271
3,0,0.9526,0.3976,0.1515,2.5808
3,1,0.9809,0.9882,0.0618,0.0375
3,2,0.9851,0.9918,0.0491,0.0271
4,0,0.9552,0.4209,0.1465,2.3436
4,1,0.9816,0.9868,0.0592,0.0413
4,2,0.9854,0.9918,0.0482,0.0275
